model,layer,feature_ind,importance
InceptionV1,mixed5a,515,19
InceptionV1,mixed5a,516,23
InceptionV1,mixed5a,517,15
InceptionV1,mixed5a,518,20
InceptionV1,mixed5a,519,-25
InceptionV1,mixed5a,520,17
InceptionV1,mixed5a,521,15
InceptionV1,mixed5a,522,2
InceptionV1,mixed5a,523,2
InceptionV1,mixed5a,524,23
InceptionV1,mixed5a,525,16
InceptionV1,mixed5a,526,-18
InceptionV1,mixed5a,527,14
InceptionV1,mixed5a,528,3
InceptionV1,mixed5a,529,4
InceptionV1,mixed5a,530,-9
InceptionV1,mixed5a,531,5
InceptionV1,mixed5a,532,11
InceptionV1,mixed5a,533,-12
InceptionV1,mixed5a,534,3
InceptionV1,mixed5a,535,5
InceptionV1,mixed5a,536,17
InceptionV1,mixed5a,537,10
InceptionV1,mixed5a,538,8
InceptionV1,mixed5a,539,3
InceptionV1,mixed5a,540,19
InceptionV1,mixed5a,541,6
InceptionV1,mixed5a,542,2
InceptionV1,mixed5a,543,24
InceptionV1,mixed5a,544,19
InceptionV1,mixed5a,545,8
InceptionV1,mixed5a,546,18
InceptionV1,mixed5a,547,-17
InceptionV1,mixed5a,548,-2
InceptionV1,mixed5a,549,24
InceptionV1,mixed5a,550,25
InceptionV1,mixed5a,551,12
InceptionV1,mixed5a,552,21
InceptionV1,mixed5a,553,3
InceptionV1,mixed5a,554,8
InceptionV1,mixed5a,555,-12
InceptionV1,mixed5a,556,4
InceptionV1,mixed5a,557,4
InceptionV1,mixed5a,558,17
InceptionV1,mixed5a,559,22
InceptionV1,mixed5a,560,-10
InceptionV1,mixed5a,561,18
InceptionV1,mixed5a,562,10
InceptionV1,mixed5a,563,18
InceptionV1,mixed5a,564,47
InceptionV1,mixed5a,565,25
InceptionV1,mixed5a,566,-10
InceptionV1,mixed5a,567,-15
InceptionV1,mixed5a,568,0
InceptionV1,mixed5a,569,25
InceptionV1,mixed5a,570,14
InceptionV1,mixed5a,571,14
InceptionV1,mixed5a,572,-14
InceptionV1,mixed5a,573,17
InceptionV1,mixed5a,574,5
InceptionV1,mixed5a,575,15
InceptionV1,mixed5a,576,-13
InceptionV1,mixed5a,577,34
InceptionV1,mixed5a,578,14
InceptionV1,mixed5a,579,-8
InceptionV1,mixed5a,580,21
InceptionV1,mixed5a,581,76
InceptionV1,mixed5a,582,16
InceptionV1,mixed5a,583,0
InceptionV1,mixed5a,584,21
InceptionV1,mixed5a,585,-8
InceptionV1,mixed5a,586,18
InceptionV1,mixed5a,587,8
InceptionV1,mixed5a,588,14
InceptionV1,mixed5a,589,7
InceptionV1,mixed5a,590,12
InceptionV1,mixed5a,591,24
InceptionV1,mixed5a,592,-1
InceptionV1,mixed5a,593,11
InceptionV1,mixed5a,594,8
InceptionV1,mixed5a,595,19
InceptionV1,mixed5a,596,9
InceptionV1,mixed5a,597,-34
InceptionV1,mixed5a,598,41
InceptionV1,mixed5a,599,8
InceptionV1,mixed5a,600,47
InceptionV1,mixed5a,601,-11
InceptionV1,mixed5a,602,6
InceptionV1,mixed5a,603,101
InceptionV1,mixed5a,604,-7
InceptionV1,mixed5a,605,72
InceptionV1,mixed5a,606,-8
InceptionV1,mixed5a,607,-28
InceptionV1,mixed5a,608,11
InceptionV1,mixed5a,609,-3
InceptionV1,mixed5a,610,-2
InceptionV1,mixed5a,611,21
InceptionV1,mixed5a,612,-11
InceptionV1,mixed5a,613,4
InceptionV1,mixed5a,614,19
InceptionV1,mixed5a,615,-1
InceptionV1,mixed5a,616,12
InceptionV1,mixed5a,617,12
InceptionV1,mixed5a,618,-4
InceptionV1,mixed5a,619,-5
InceptionV1,mixed5a,620,24
InceptionV1,mixed5a,621,7
InceptionV1,mixed5a,622,18
InceptionV1,mixed5a,623,-8
InceptionV1,mixed5a,624,19
InceptionV1,mixed5a,625,-9
InceptionV1,mixed5a,626,18
InceptionV1,mixed5a,627,-2
InceptionV1,mixed5a,628,15
InceptionV1,mixed5a,629,4
InceptionV1,mixed5a,630,5
InceptionV1,mixed5a,631,22
InceptionV1,mixed5a,632,-4
InceptionV1,mixed5a,633,53
InceptionV1,mixed5a,634,4
InceptionV1,mixed5a,635,26
InceptionV1,mixed5a,636,73
InceptionV1,mixed5a,637,24
InceptionV1,mixed5a,638,22
InceptionV1,mixed5a,639,18
InceptionV1,mixed5a,640,2
InceptionV1,mixed5a,641,2
InceptionV1,mixed5a,642,10
InceptionV1,mixed5a,643,-7
InceptionV1,mixed5a,644,0
InceptionV1,mixed5a,645,-11
InceptionV1,mixed5a,646,39
InceptionV1,mixed5a,647,1
InceptionV1,mixed5a,648,20
InceptionV1,mixed5a,649,4
InceptionV1,mixed5a,650,20
InceptionV1,mixed5a,651,30
InceptionV1,mixed5a,652,3
InceptionV1,mixed5a,653,10
InceptionV1,mixed5a,654,30
InceptionV1,mixed5a,655,0
InceptionV1,mixed5a,656,36
InceptionV1,mixed5a,657,43
InceptionV1,mixed5a,658,21
InceptionV1,mixed5a,659,10
InceptionV1,mixed5a,660,11
InceptionV1,mixed5a,661,8
InceptionV1,mixed5a,662,8
